Timestamp,Reservoir Pressure
7/29/2008,10580.58
8/10/2008,10406.4
10/18/2008,9297.3
11/21/2008,8856.22
12/2/2008,8490
2/18/2009,7480.32
3/7/2009,7270.2
5/5/2009,7079.8
8/7/2009,6310
11/26/2009,6133.76
2/5/2010,6013.81
5/4/2010,6054.4
8/28/2010,5800
12/22/2010,5473
4/1/2011,5307.06
6/17/2011,5255.46
9/10/2011,5169.64
10/23/2011,5041.35
12/16/2011,5114.2
2/8/2012,4960.62
9/26/2012,4826.73
3/25/2013,4992.9
11/11/2013,5278.42
2/16/2014,4865
6/7/2014,4963.84
3/14/2015,5240.65
8/28/2015,4943.46
2/28/2016,5205.5
8/31/2016,5107.2
10/1/2016,5103.48
11/8/2016,5202.4
11/30/2016,5250
12/22/2016,5298.15
4/12/2017,5445.44
8/15/2017,5439.78
1/21/2018,5549.6
2/25/2019,6549.3
3/6/2019,6638.33
12/25/2019,6784.92
10/4/2020,7642.44
5/8/2021,8040.04
